,AreaName,AvgPrice
220,raju park,4463.84
221,santnagar,4428.63
222,ip extension,11762.02
223,loni,5651.87
224,dwarka sector 11 pocket 4,53589.26
225,kamla nagar,293.63
226,north campus,29831.19
227,om vihar extn delhi,4662.86
228,sector 12 dwarka pocket 3,10128.78
229,sector-14 rohini,15131.02
230,westend,7702.11
231,ashok nagar,6884.79
232,dabri,10802.96
233,east delhi,12340.89
234,pandav nagar,1457.06
235,sheikh sarai,14514.72
236,block j,5925.93
237,rohini sector 24,1017.32
238,arjun nagar,8287.29
239,dwarka 10 sector,536.84
240,mahavir enclave bengali colony,555.11
241,mandawali,4646.3
242,rama park block b,6271.6
243,sector-8 rohini,13703.7
244,bank enclave,1462.5
245,dwarka sec 6,8811.73
246,l zone delhi,4374.09
247,sahibabad,7497.31
248,sector 21 dwarka,4371.43
249,sector 15 rohini,10879.63
250,narela,7274.73
251,nawada extension,5555.56
252,sadulajab,3950.62
253,vasant kunj enclave,12156.71
254,mansarovar garden,7121.88
255,naraina,6666.67
256,saraswati vihar,8357.14
257,sector 18 dwarka new delhi,9227.84
258,dwarka sector 7,8827.84
259,sector 28 dwarka,4467.46
260,sector-18 rohini,1243.7
261,connaught place,44218.75
262,abul fazal enclave jamia nagar,5128.21
263,begampur park,6812.9
264,geeta colony,10402.22
265,rajpur khurd village,6985.42
266,karampura,15708.28
267,chattarpur enclave,3510.8
268,dwarka 8 sector,7444.44
269,dwarka sec 23,8463.06
270,fateh nagar,9411.76
271,freedom fighters enclave,4288.07
272,sector 18 sector 18a dwarka,10344.15
273,shivaji marg,15741.67
274,vijay nagar,7148.67
275,kapashera,5486.11
276,dwarka sub city,9509.9
277,east patel nagar,8000
278,nawada sainik nagar,5454.55
279,sector 7 dwarka new delhi,10737.49
280,indraprastha,11551.25
281,krishna park jawahar park,3720.97
282,mundka,3672.24
283,sector-23 rohini,8428.82
284,sector 16b dwarka,8516.23
285,rajpur,4232.22
286,shakarpur,6250
287,mandi,4636.84
288,sector 26 dwarka,5243.94
289,mansarover garden,1000
290,shakti nagar,22370.68
291,som vihar,28333.33
292,devli export enclave,3973.46
293,hastsal,5833.33
294,rajapuri east uttam nagar,4509.8
295,rajinder nagar,22222.22
296,sector 23,8605.71
297,sector-b vasant kunj,16824.4
298,sultanpur,4761.54
299,tri nagar,11870.38
300,deoli gaon nai basti,317.63
301,gulmohar enclave,21808.71
302,kalkaji govindpuri,9322.92
303,khera khurd,9125
304,manglapuri,9453.97
305,panchsheel vihar,4814.81
306,sector 19b,15555.34
307,sector 29 dwarka,4528.44
308,sector 9 rohini,22768.67
309,shahpur jat,7333.33
310,bakkarwala,7500
311,bank colony,3160.49
312,kotla mubarakpur,19978.63
313,malka ganj,77564.1
314,razapur khurd,4540.28
315,vasant kunj marg,15449.02
316,vivek vihar,11733.09
317,bank colony deoli,2888.89
318,bhagwati garden,4670
319,gharoli,10487.18
320,kalkaji extension,10735.93
321,karkardooma,7458.85
322,sudarshan park,11158.02
323,chirag delhi,11406.25
324,dwarka sector 9,10563.29
325,madhu vihar,11541.67
326,munirka vihar,14117.65
327,pocket 2 sector 6 dwarka,10415.58
328,zakir nagar,4916.67
329,gujranwala town,10146.1
330,kalyan vihar,3589.74
331,sector 19,12156.18
332,south anarkali delhi,11111.11
333,sunlight colony,6857.14
334,ashok vihar phase-1,8641.98
335,dwarka sector 17,8658.35
336,inderpuri,661.4
337,old delhi,10747.13
338,sector 4 rohini,9500
339,vinod nagar north,5776.38
340,wea,18607.86
341,alaknanda gangotri enclave,14507.67
342,ashram,14973.26
343,baljeet nagar,2921.35
344,budh vihar,2555.56
345,devli nai basti,416.67
346,govindpura,5873.02
347,kalkaji main,14000
348,roop nagar,27247.96
349,subhash park extn new delhi,4400
350,vishwas park extn uttam nagar,3500
351,wazirabad,4117.65
352,babarpur,7222.22
353,bali nagar,4444.44
354,bamnoli,735.29
355,bhalswa,3461.54
356,dda flat,9622.96
357,dwarka sector 11 pocket 3,5630.64
358,e 2 vasant kunj,5641.03
359,madangir,441.92
360,masjid moth,14571.43
361,meera bagh,8346.59
362,netaji subhash place,20357.14
363,new kondli,1087.99
364,sector 11 dwarka pocket 2,8394.06
365,sector 15a,18636.36
366,swasthya vihar,14204.55
367,abul fazal enclave,3466.67
368,central secretariat,16216.22
369,delhi apartments,1152.93
370,derawal nagar,8171.6
371,dwarka sector 12 pocket 4,9145.82
372,paschim vihar main,10952.38
373,sector 6 dwarka palam vihar,11319.5
374,sushant lok delhi,3459.87
375,vinod nagar east,474.07
376,10 sector dwarka,8200.93
377,b k dutt colony,21912.35
378,bhagwati vihar,2888.89
379,block a,11785.71
380,jagriti enclave shreshtha vihar,20790.44
381,kundli,5177.13
382,loknayak puram,5765.43
383,mansarovar park,7849.56
384,mayur vihar iii,810.86
385,okhla vihar,4888.89
386,ranjeet nagar,10909.09
387,shyam vihar phase1,4637.25
388,anupam garden 10th lane,9523.81
389,bhiwadi,3696.78
390,block a1 chattarpur,3750
391,deepali,7393.76
392,dilshad colony,8714.29
393,dwarka sector 15,8216.37
394,kakrola,6296.3
395,kalu sarai,25713.38
396,mahipalpur extension,4843.21
397,nasirpur,8892.86
398,navin shahdara,9565.22
399,sarai rohilla,3157.89
400,sector 111,10260.67
401,sector 8 dwarka block b,10526.32
402,sector-28 rohini,5798.52
403,sector24,10142.86
404,sectorb vasant kunj,14285.71
405,sewa nagar,6166.67
406,shakurpur,2471.91
407,shadipur,20636.36
408,aerocity,4391.01
409,bharat vihar,4383.33
410,chitra vihar,11877.01
411,defence colony flyover,53722.18
412,delhi cantonment,8437.5
413,duggal housing complex,3871.83
414,karala,3424.66
415,mansa ram park park path,3500
416,pochanpur colony,6263.89
417,sadar bazaar,5166.93
418,sector 103,4526.7
419,sector 37 rohini,3000
420,sector 9,13750
421,sheikh sarai phase2 new delhi,12513.91
422,sonia vihar,2545.45
423,south patel nagar,13333.33
424,vasant enclave,13221.54
425,vasant vihar c block,40000
426,batla house new delhi,376.92
427,block ap poorvi pitampura,13257.08
428,chandni chowk,8230.45
429,fatehpurberi,8869.05
430,govindpuri extension new delhi,4166.67
431,ishwar nagar,11666.67
432,jahangir puri,6709.35
433,khanpur colony,4100
434,naharpur village,2777.78
435,pocket 7 dwarka sector 12,8536.63
436,sector 11,9190.97
437,sector 12,13166.78
438,sector c vasant kunj,40625
439,sitapuri,4444.44
440,sonepat,3390.63
441,surajmal vihar,21666.67
442,ali village,6976.74
443,burari garhi,4817.3
444,ca apartments,109.74
445,chandra park,3902.11
446,daryaganj,9272.73
447,freedom fighter vihar,5000
448,gazipur,10540.11
449,hauz rani,3571.43
450,hill view,18416.67
451,kanjhawla,3471.55
452,karawal nagar,2666.67
453,mehrauli village,3870.36
454,palam vihar,9152.54
455,r k puram,29411.76
456,ram nagar extension,5555.56
457,rithala,4550
458,sector 10,8919.76
459,sector 6,7889
460,sector-16 dwarka,4250
461,sector-19 rohini,11531.25
462,sector-21 rohini,7865.38
463,sfs flats saket,13571.43
