,AreaName,AvgPrice,Latitude,Longitude,PinCode,District
0,Uttam Nagar,7486,28.618535,77.056782,110059,West District
1,Uttam Nagar West,6762.32,28.618535,77.056782,110059,West District
2,Malviya Nagar,11703.7,28.534883,77.210245,110017,South District
3,Laxmi Nagar,11858.86,28.635202,77.283208,110092,East District
4,Greater Kailash 1,17797.51,28.548714,77.236102,110048,South East Delhi District
5,Saket,13995.16,28.523848,77.206773,110017,South District
6,Defence Colony,20939.86,28.573199,77.232795,110024,South East Delhi District
7,Safdarjung Enclave,21743.02,28.565741,77.194877,110029,South District
8,Vasant Kunj,68576.87,28.51498,77.153245,110070,South District
9,Greater Kailash Ii,16788.9,28.534883,77.241845,110048,South East Delhi District
10,Vasant Vihar,48856.77,28.564479,77.161155,110057,New Delhi District
11,Dwarka More,50359.58,28.618973,77.031514,110059,South West District
12,Panchsheel Park,60449.23,28.543272,77.215076,110017,South District
13,Panchsheel Enclave,19538.06,28.543794,77.229476,110017,South District
14,Shivalik,19444.44,28.532298,77.206525,110017,South District
15,Sarita Vihar,34203.51,28.530896,77.294073,110076,South East Delhi District
16,Chhawla,4819.7,28.561283,77.002434,110071,South West District
17,Chattarpur,28422.15,28.48533,77.174925,110030,South District
18,Khanpur,4519.11,28.509519,77.230424,110062,South District
19,Geetanjali Enclave,22596.56,28.530191,77.201991,110017,South District
20,Mayur Vihar Phase 1,18115.21,28.598894,77.294371,110091,East District
21,New Friends Colony,12636.03,28.565556,77.27041,110025,South East Delhi District
22,Burari,5894.39,28.755099,77.199031,110084,Central District
23,Sector 19 Dwarka,17552.53,28.576972,77.053127,110075,South West District
24,Kalkaji,57796.75,28.541421,77.255747,110019,South East Delhi District
25,Sector 12 Dwarka,15714.44,28.594672,77.042238,110078,South West District
26,Sector 22 Dwarka,19363.67,28.560631,77.059501,110077,New Delhi District
27,Hauz Khas,21539.83,28.549648,77.207748,110016,South District
28,Raja Puri,4587.62,28.709453,77.183525,110009,North District
29,Sarvodaya Enclave,22216.05,28.537996,77.201102,110017,South District
30,Sector 6 Dwarka,13743.8,28.59306,77.065686,110075,South West District
31,Sector 23 Dwarka,85241.3,28.56448,77.055066,110077,New Delhi District
32,Green Park,24418.68,28.556856,77.203604,110016,South District
33,Paschim Vihar,15976.95,28.669306,77.093265,110063,West District
34,Greater Kailash,42582.15,28.55346,77.242581,110048,South East Delhi District
35,East Of Kailash,14927.57,28.555346,77.247987,110065,South East Delhi District
36,Pitampura,19100.53,28.69176,77.120353,110034,North West District
37,New Ashok Nagar,5786.14,28.594022,77.30742,110096,East District
38,Mohan Garden,5894.72,28.636866,77.037293,110059,West District
39,Sector 10 Dwarka,102339.42,28.58306,77.057824,110075,South West District
40,Sector 11 Dwarka,13176.38,28.589461,77.050047,110075,South West District
41,Dwarka Mor,997.85,28.618973,77.031514,110059,South West District
42,Sector 4 Dwarka,16716.11,28.602437,77.048068,110078,West District
43,Sector 7 Dwarka,11841.51,28.593441,77.072453,110075,South West District
44,Dwarka New Delhi 110075,43931.02,28.575835,77.043334,110075,South West District
45,Navjeevan Vihar,9803.92,28.533019,77.199801,110017,South District
46,Gulmohar Park,44385.85,28.556303,77.213521,110049,South District
47,Anand Niketan,34421.58,28.579845,77.164595,110021,New Delhi District
48,Lalita Park,6253.77,28.630145,77.274076,110092,East District
49,Khanpur Deoli,466.51,28.509519,77.230424,110062,South District
50,Hari Nagar,20296.49,28.624511,77.111014,110064,West District
51,Jangpura,3490.91,28.585417,77.246022,110014,South East Delhi District
52,Neb Sarai,4949.95,28.505609,77.198864,110062,South District
53,Zone L Dwarka,6307.02,28.597807,77.073263,110045,South West District
54,Guru Angad Nagar,7311.11,28.549345,77.253946,110019,South East Delhi District
55,Golf Links,2845.53,28.597261,77.231184,110003,New Delhi District
56,Punjabi Bagh,13690.83,28.667505,77.127874,110026,West District
57,Nawada,6609.95,28.622926,77.049585,110059,West District
58,Sector 5 Dwarka,13246.96,28.59772,77.057337,110075,South West District
59,Paryavaran Complex,5125.22,28.51606,77.203128,110068,South District
60,Ramesh Park,6900.4,28.635525,77.271834,110092,East District
61,Badarpur,3452.11,28.503489,77.300538,110044,South East Delhi District
62,Sector 13 Dwarka,1352.46,28.599383,77.036146,110078,South West District
63,Vishwakarma Park,6443.1,28.63599,77.273982,110092,East District
64,Freedom Fighter Enclave,4668.3,28.509987,77.19899,110068,South District
65,Jor Bagh,4500,28.588308,77.21383,110003,South East Delhi District
66,Om Vihar,5535.2,28.626044,77.05264,110059,West District
67,Janakpuri,14605.96,28.621667,77.088521,110058,West District
68,Sector 24 Rohini,21117.92,28.725017,77.085407,110085,North West District
69,Mahavir Enclave,8866.37,28.596709,77.08236,110045,South West District
70,Shahdara,14918.18,28.671679,77.294197,110032,Shahdara District
71,Patel Nagar,24126.85,28.652637,77.163834,110008,West District
72,Sector 18A Dwarka,15335.71,28.58863,77.036704,110078,South West District
73,Niti Bagh,16818.18,28.558991,77.215324,110049,South District
74,Khanpur Krishna Park,4483.39,28.509358,77.232441,110062,South District
75,Mehrauli,12612.03,28.521341,77.179337,110030,South District
76,Jaitpur,2352.82,28.50552,77.327316,110044,South East Delhi District
77,C R Park,17361.11,28.544341,77.253064,110019,South East Delhi District
78,I P Extension Patparganj,15136.3,28.612117,77.291734,110091,East District
79,Jasola,11324.78,28.542536,77.298059,110025,South East Delhi District
80,Shanti Niketan,26136.36,28.576494,77.168906,110021,New Delhi District
81,West Punjabi Bagh,13890.39,28.663638,77.052814,,West District
82,Maharani Bagh,115.23,28.573233,77.265296,110065,South East Delhi District
83,Karol Bagh,15655.69,28.652979,77.192229,110005,Central District
84,Sector 24 Dwarka,4668.88,28.570317,77.035992,110077,South West District
85,Kota House Entrance,15287.42,28.606087,77.225119,110011,New Delhi District
86,Sector 3 Dwarka,17749.69,28.606631,77.044155,110078,West District
87,Delhi,21620.23,28.632694,77.21966,,New Delhi District
88,Vishwas Park,4464.29,28.611805,77.057041,110059,West District
89,Jangpura Extension,13888.89,28.581219,77.242403,110014,South East Delhi District
90,Sector 14 Dwarka,12569.07,28.601374,77.027647,110078,South West District
91,Lajpat Nagar,10288.53,28.576062,77.241561,110024,South East Delhi District
92,South Extension 2,25000,28.566668,77.220915,110049,South East Delhi District
93,Nizamuddin,1109.05,28.589526,77.244335,110013,South East Delhi District
94,Sector 18B Dwarka,43904.58,28.585601,77.03178,110078,South West District
95,Chittaranjan Park,20944.52,28.538075,77.248299,110019,South East Delhi District
96,Dwarka More Mohan Garden,10589.84,28.636866,77.037293,110059,West District
97,Mayur Vihar I,11284.72,28.598894,77.294371,110091,East District
98,Tagore Garden,13248.88,28.645861,77.110687,110027,West District
99,Sector 9 Dwarka,13763.46,28.57934,77.065129,110077,South West District
100,L Zone Dwarka Phase 2 Delhi,4400,28.613626,77.019343,110078,South West District
101,Preet Vihar,35433.03,28.639118,77.294735,110092,East District
102,Najafgarh,3513.23,28.613304,76.980431,110043,South West District
103,Chattarpur Enclave Phase 2,8306.16,28.500421,77.187847,110074,South District
104,Guru Ram Das Nagar,7777.78,28.687432,77.198608,110007,North District
105,Mansa Ram Park,4907.94,28.617651,77.039019,110059,West District
106,Ramesh Nagar,6542.06,28.649318,77.130681,110015,West District
107,Nawada Uttam Nagar,6177.99,28.618535,77.056782,110059,West District
108,Sector-8 Dwarka,7914,28.575747,77.073874,110077,South West District
109,Jamia Nagar,16273.36,28.560839,77.281419,110025,South East Delhi District
110,Kailash Colony,9800,28.554173,77.24069,110048,South District
111,Sector 2 Dwarka,13666.13,28.598827,77.067843,110075,South West District
112,Khirki Extension,6245.41,28.532781,77.217764,110017,South District
113,Sangam Vihar,5974.82,28.500277,77.244059,110080,South East Delhi District
114,Dwarka Phase 2,6403.8,28.572503,77.018944,110071,South West District
115,Ghitorni,5510.91,28.500863,77.131536,110030,New Delhi District
116,Safdarjung Development Area,9554.6,28.551221,77.199048,110016,South District
117,Munirka,15383.25,28.553441,77.174918,110067,New Delhi District
118,Krishan Kunj,4000,28.700958,77.278916,110053,North East District
119,Param Puri,4600,28.618948,77.054646,110059,West District
120,Krishna Nagar,7919.11,28.65846,77.283538,110051,Shahdara District
121,Sukhdev Vihar,16114.22,28.55518,77.274676,110025,South East Delhi District
122,Lajpat Nagar Iii,5786.62,28.567256,77.239107,110024,South East Delhi District
123,Tilak Nagar,7827.27,28.637748,77.088869,110018,West District
124,Dwarka Sector 12,1282.67,28.594672,77.042238,110078,South West District
125,Uttam Nagar Nanhey Park,4394.34,28.618535,77.056782,110059,West District
126,Vasundhara Enclave,12548.67,28.60126,77.321231,110096,East District
127,Sector-7 Rohini,12545.45,28.708924,77.118426,110085,North West District
128,Lajpat Nagar Ii,22222.22,28.569781,77.242302,110024,South East Delhi District
129,Poorvi Pitampura,11505.54,28.69176,77.120353,110034,North West District
130,Mayur Vihar,19909.45,28.607676,77.301188,110091,East District
131,Duggal Colony,434.19,28.510371,77.230325,110062,South District
132,Vikas Puri,12997.71,28.638774,77.075727,110018,West District
133,Jawahar Park,3780.69,28.507696,77.23062,110062,South District
134,Sector-18 Dwarka,11428.96,28.589569,77.033645,110078,South West District
135,Vikaspuri,15251.96,28.638774,77.075727,110018,West District
136,Hauz Khas Enclave,22413.79,28.548088,77.20364,110016,South District
137,South Delhi,7477.94,28.515603,77.227055,,South District
138,Uttam Nagar East,5158.16,28.619541,77.063775,110059,South West District
139,South Extension,34953.84,28.571261,77.219909,110049,South East Delhi District
140,Sector22 Rohini,17952.04,28.721034,77.073372,110086,North West District
141,Lajpat Nagar Iv,15176.97,28.56298,77.240746,110024,South East Delhi District
142,Patparganj,15415.62,28.612117,77.291734,110091,East District
143,Govindpuri,6550.4,28.535546,77.264039,110019,South East Delhi District
144,Sector 17 Dwarka,10957.27,28.591823,77.028044,110078,South West District
145,Rama Park,5778.19,28.621244,77.034906,110059,West District
146,Anand Lok,49979.18,28.557201,77.218116,110049,South District
147,Uttam Nagar Subhash Park Extn,4897.96,28.61231,77.055123,110059,West District
148,Palam,9957.71,28.580917,77.088389,110045,South West District
149,Okhla,8486.43,28.564067,77.289191,110025,South East Delhi District
150,Ganesh Nagar,6273.84,28.635497,77.089232,110018,West District
151,Safdarjung,24461.76,28.565741,77.194877,110029,South District
152,Mayur Vihar Phase 3,10990,28.610627,77.336514,110096,East District
153,Kiran Garden,4888.89,28.619453,77.046439,110059,West District
154,Tagore Garden Extension,8149.27,28.651729,77.112763,110027,West District
155,Matiala,4941.14,28.614166,77.046822,110059,West District
156,Priyadarshini Vihar,5849.97,28.642246,77.277938,110092,East District
157,Moti Nagar,17929.32,28.662193,77.13917,110015,West District
158,Gagan Vihar,976.27,28.644682,77.292236,110051,East District
159,Deoli Khanpur,5967.32,28.509519,77.230424,110062,South District
160,Sector 13 Rohini,20278.48,28.721065,77.128913,110089,North District
161,Greater Kailash Enclave Ii,103591.16,28.539217,77.238547,110048,South East Delhi District
162,Rohini Sector 9,21925.72,28.717325,77.127455,110085,North District
163,Vishnu Garden,2888.89,28.653971,77.100309,110018,West District
164,D Block Vikaspuri,12357.14,28.6336,77.0674,110018,West District
165,Nanhey Park New Delhi,6428.57,28.632694,77.21966,,New Delhi District
166,Sector 11 Rohini,12541.67,28.73339,77.109005,110085,North West District
167,Shalimar Bagh,11360.16,28.708724,77.166944,110088,North District
168,Bindapur,6574.19,28.610709,77.068586,110059,South West District
169,Uttari Pitampura,12848.58,28.69176,77.120353,110034,North West District
170,Gautam Nagar,11820.33,28.561382,77.211631,110049,South District
171,Mahipalpur,540.75,28.545272,77.129485,110037,New Delhi District
172,Sewak Park,9156.31,28.617788,77.033562,110059,West District
173,D Block Lane,1215.52,28.627061,77.139963,110028,New Delhi District
174,Jain Colony,4809.52,28.685289,77.194123,110007,Central District
175,Sector 25 Rohini,7856.87,28.731926,77.094379,110085,North West District
176,Shastri Nagar,11133.19,28.673383,77.179699,110052,Central District
177,Anand Vihar,12941.36,28.652633,77.311955,110092,Shahdara District
178,Dwarka Sector 13,1050.66,28.599383,77.036146,110078,South West District
179,Jagdamba Vihar,31424.9,28.60105,77.095706,110046,South West District
180,Dilshad Garden,1271.95,28.682157,77.319274,110095,Shahdara District
181,Tughlakabad,3228.4,28.512079,77.267811,110044,South East Delhi District
182,Aya Nagar,554.69,28.475084,77.133169,110047,South District
183,New Rajendra Nagar,931.82,28.636315,77.17996,110060,Central District
184,Sector 3 Rohini,13571.43,28.70253,77.108311,110085,North West District
185,Sector-24 Rohini,10818.45,28.725017,77.085407,110085,North West District
186,Rajouri Garden,11552.01,28.643074,77.124982,110027,West District
187,Dwarka Sector 19,10119.48,28.576972,77.053127,110075,South West District
188,Kailash Hills,129.26,28.554787,77.246769,110065,South East Delhi District
189,Ashok Vihar,9726.4,28.6916,77.167153,110052,North West District
190,Bamnoli Dwarka Sector 28,599.21,28.596492,77.075086,110045,South West District
191,Dwarka Sector3,12407.7,28.636282,77.207186,110001,New Delhi District
192,Matiala Extension,4706.67,28.614166,77.046822,110059,West District
193,Alaknanda,16648.1,28.527939,77.250154,110019,South East Delhi District
194,Lalita Park Foot Over Bridge,63.58,28.631705,77.270747,110092,East District
195,Sainik Nagar Mansa Ram Park,4888.89,28.617651,77.039019,110059,West District
196,Mayur Vihar Phase 2,10768.05,28.618247,77.297834,110091,East District
197,Chhattarpur Enclave Phase1,4351.47,28.500326,77.191784,110074,South District
198,Dlf Ankur Vihar,6451.85,28.552668,77.213231,110049,South District
199,Sector 1 Dwarka,10330.81,28.597807,77.073263,110045,South West District
200,Sector-D Vasant Kunj,16101.29,28.521405,77.1461,110070,South District
201,Civil Lines,17656.97,28.680644,77.21888,110054,Central District
202,Kaushambi,7661.32,28.632694,77.21966,,
203,Tigri,12698.25,28.511275,77.238326,110062,South District
204,Sector 12 Dwarka New Delhi,10770.12,28.594672,77.042238,110078,South West District
205,Sector 4,13884.31,28.524277,77.228379,110017,South District
206,South Ex,20631.31,28.515603,77.227055,,South District
207,Model Town,13747.54,28.730261,77.171765,,North District
208,Dwarka 11 Sector,10999.26,28.589461,77.050047,110075,South West District
209,Govind Puri,11886.11,28.535546,77.264039,110019,South East Delhi District
210,Rohini Sector 16,14209.67,28.735915,77.122823,110089,North District
211,Rohini Sector 5,5833.33,28.713639,77.103875,110085,North West District
212,Uttam Nagar Vani Vihar,4375,28.61749,77.063792,110059,West District
213,Devli,9862.5,28.503704,77.23216,110062,South District
214,Paryavaran Complex Main,4250.28,28.51606,77.203128,110068,South District
215,Bamnoli Sector 28 Dwarka,5172.84,28.596492,77.075086,110045,South West District
216,Nangloi,774.83,28.672178,77.065816,110041,West District
217,Nirman Vihar,11839.1,28.635382,77.287782,110092,East District
218,Shanti Park Dwarka,8102.68,28.584408,77.049432,110075,South West District
219,Kirti Nagar,21503.17,28.65052,77.142426,110015,West District
220,Raju Park,4463.84,28.60992,77.030927,110078,South West District
221,Santnagar,4428.63,28.740852,77.20271,110084,Central District
222,Ip Extension,11762.02,28.629337,77.302631,110092,East District
223,Loni,5651.87,28.687996,77.291986,110032,Shahdara District
224,Dwarka Sector 11 Pocket 4,53589.26,28.587676,77.043674,110075,South West District
225,Kamla Nagar,293.63,28.682825,77.203627,110007,Central District
226,North Campus,29831.19,28.852488,77.097797,,North District
227,Om Vihar Extn Delhi,4662.86,28.617795,77.050624,110059,West District
228,Sector 12 Dwarka Pocket 3,10128.78,28.595862,77.04682,110078,South West District
229,Sector-14 Rohini,15131.02,28.714734,77.133387,110085,North West District
230,Westend,7702.11,28.671356,77.092747,110087,West District
231,Ashok Nagar,6884.79,28.635974,77.101596,110018,West District
232,Dabri,10802.96,28.6088,77.084165,110045,South West District
233,East Delhi,12340.89,28.635929,77.285827,,East District
234,Pandav Nagar,1457.06,28.619713,77.285675,110091,East District
235,Sheikh Sarai,14514.72,28.536347,77.221134,110017,South District
236,Block J,5925.93,28.654794,77.146398,110015,West District
237,Rohini Sector 24,1017.32,28.725017,77.085407,110085,North West District
238,Arjun Nagar,8287.29,28.561888,77.198002,110029,South District
239,Dwarka 10 Sector,536.84,28.590611,77.057569,110075,South West District
240,Mahavir Enclave Bengali Colony,555.11,28.596709,77.08236,110045,South West District
241,Mandawali,4646.3,28.630237,77.291411,110092,East District
242,Rama Park Block B,6271.6,28.622718,77.034595,110059,West District
243,Sector-8 Rohini,13703.7,28.703195,77.124575,110085,North West District
244,Bank Enclave,1462.5,28.642002,77.270898,110031,East District
245,Dwarka Sec 6,8811.73,28.59306,77.065686,110075,South West District
246,L Zone Delhi,4374.09,28.636126,77.112166,110027,West District
247,Sahibabad,7497.31,28.744516,77.096549,110042,North District
248,Sector 21 Dwarka,4371.43,28.55764,77.067198,110077,New Delhi District
249,Sector 15 Rohini,10879.63,28.732456,77.127145,110089,North District
250,Narela,7274.73,28.852488,77.097797,110040,North District
251,Nawada Extension,5555.56,28.622926,77.049585,110059,West District
252,Sadulajab,3950.62,28.632694,77.21966,,New Delhi District
253,Vasant Kunj Enclave,12156.71,28.51498,77.153245,110070,South District
254,Mansarovar Garden,7121.88,28.642099,77.133346,110015,West District
255,Naraina,6666.67,28.643119,77.144943,110028,West District
256,Saraswati Vihar,8357.14,28.696815,77.12461,110034,North West District
257,Sector 18 Dwarka New Delhi,9227.84,28.589569,77.033645,110078,South West District
258,Dwarka Sector 7,8827.84,28.593441,77.072453,110075,South West District
259,Sector 28 Dwarka,4467.46,28.596492,77.075086,110045,South West District
260,Sector-18 Rohini,1243.7,28.740602,77.137224,110089,North District
261,Connaught Place,44218.75,28.632735,77.219696,110001,New Delhi District
262,Abul Fazal Enclave Jamia Nagar,5128.21,28.555496,77.297802,110025,South East Delhi District
263,Begampur Park,6812.9,28.673665,77.094644,110063,West District
264,Geeta Colony,10402.22,28.652544,77.275947,110031,Shahdara District
265,Rajpur Khurd Village,6985.42,28.49442,77.190688,110068,South District
266,Karampura,15708.28,28.664786,77.147423,110015,West District
267,Chattarpur Enclave,3510.8,28.48533,77.174925,110030,South District
268,Dwarka 8 Sector,7444.44,28.575747,77.073874,110077,South West District
269,Dwarka Sec 23,8463.06,28.566949,77.055135,110077,South West District
270,Fateh Nagar,9411.76,28.63086,77.101612,110018,West District
271,Freedom Fighters Enclave,4288.07,28.510955,77.202062,110068,South District
272,Sector 18 Sector 18A Dwarka,10344.15,28.58863,77.036704,110078,South West District
273,Shivaji Marg,15741.67,28.662335,77.152738,110015,West District
274,Vijay Nagar,7148.67,28.690228,77.201634,110009,North District
275,Kapashera,5486.11,28.527669,77.076869,110097,New Delhi District
276,Dwarka Sub City,9509.9,28.597807,77.073263,110045,South West District
277,East Patel Nagar,8000,28.647715,77.174001,110005,West District
278,Nawada Sainik Nagar,5454.55,28.616509,77.041746,110059,West District
279,Sector 7 Dwarka New Delhi,10737.49,28.593441,77.072453,110075,South West District
280,Indraprastha,11551.25,28.61453,77.251556,110013,New Delhi District
281,Krishna Park Jawahar Park,3720.97,28.509358,77.232441,110062,South District
282,Mundka,3672.24,28.681933,77.030648,110041,West District
283,Sector-23 Rohini,8428.82,28.719668,77.081978,110085,North West District
284,Sector 16B Dwarka,8516.23,28.599926,77.017662,110078,South West District
285,Rajpur,4232.22,28.49442,77.190688,110068,South District
286,Shakarpur,6250,28.626964,77.279287,110092,East District
287,Mandi,4636.84,28.454097,77.146367,110047,South District
288,Sector 26 Dwarka,5243.94,28.545199,77.055081,110077,South West District
289,Mansarover Garden,1000,28.642099,77.133346,110015,West District
290,Shakti Nagar,22370.68,28.67965,77.195243,110007,Central District
291,Som Vihar,28333.33,28.571889,77.175111,110022,New Delhi District
292,Devli Export Enclave,3973.46,28.503704,77.23216,110062,South District
293,Hastsal,5833.33,28.636429,77.060879,110059,West District
294,Rajapuri East Uttam Nagar,4509.8,28.618535,77.056782,110059,West District
295,Rajinder Nagar,22222.22,28.703218,77.287433,110094,North East District
296,Sector 23,8605.71,28.719668,77.081978,110085,North West District
297,Sector-B Vasant Kunj,16824.4,28.522471,77.164599,110070,South District
298,Sultanpur,4761.54,28.48498,77.160476,110030,South District
299,Tri Nagar,11870.38,28.678393,77.156999,110035,North West District
300,Deoli Gaon Nai Basti,317.63,28.505528,77.234013,110062,South District
301,Gulmohar Enclave,21808.71,28.558254,77.210392,110049,South District
302,Kalkaji Govindpuri,9322.92,28.535546,77.264039,110019,South East Delhi District
303,Khera Khurd,9125,28.773865,77.099991,110082,North District
304,Manglapuri,9453.97,28.588744,77.087511,110045,South West District
305,Panchsheel Vihar,4814.81,28.534383,77.222077,110017,South District
306,Sector 19B,15555.34,28.667179,77.101017,110063,West District
307,Sector 29 Dwarka,4528.44,28.57616,77.050916,110075,South West District
308,Sector 9 Rohini,22768.67,28.717325,77.127455,110085,North District
309,Shahpur Jat,7333.33,28.549127,77.210407,110049,South District
310,Bakkarwala,7500,28.659125,77.016713,110041,West District
311,Bank Colony,3160.49,28.70331,77.311683,110093,Shahdara District
312,Kotla Mubarakpur,19978.63,28.573136,77.223323,110003,South East Delhi District
313,Malka Ganj,77564.1,28.675838,77.205485,110007,Central District
314,Razapur Khurd,4540.28,28.638323,77.029816,110059,West District
315,Vasant Kunj Marg,15449.02,28.51498,77.153245,110070,South District
316,Vivek Vihar,11733.09,28.67147,77.302295,110095,Shahdara District
317,Bank Colony Deoli,2888.89,28.500987,77.224467,110062,South District
318,Bhagwati Garden,4670,28.621219,77.033078,110059,West District
319,Gharoli,10487.18,28.620359,77.334202,110096,East District
