,AreaName,AvgPrice,Latitude,Longitude,PinCode,District
471,Dhul Siras,4375,28.549419,77.03127,110077,South West District
472,Dlf Phase 5,12375.48,28.628811,77.049516,110059,West District
473,Dps Matiyala,8750.75,28.612465,77.04412,110059,West District
474,Dr Ambedkar Colony,4666.67,28.50521,77.180133,110030,South District
475,Govindpura Old,6112.91,28.645439,77.285121,110051,East District
476,Katwaria Sarai,8125,28.539874,77.188008,110016,South District
477,Masjid Moth Village,7000,28.561161,77.217187,110049,South District
478,Masoodpur,14629.63,28.52691,77.154162,110070,New Delhi District
479,Maya Enclave,8771.65,28.618855,77.108939,110064,West District
480,New Layal Pur,5000,28.674808,77.267115,110053,North East District
481,Peeragarhi Village,592.07,28.6764,77.0906,110087,West District
482,Rajiv Chowk,11000,28.631606,77.219275,110001,New Delhi District
483,Residential Floorsector,13137.79,28.610071,77.20741,110001,New Delhi District
484,Sarojini Nagar,4526.75,28.575688,77.195757,110023,South District
485,Sector 18,11183.57,28.740602,77.137224,110089,North District
486,Sector 8B,13240.74,28.612632,77.328481,110096,East District
487,Shreshtha Vihar,12444.44,28.658515,77.318579,110092,Shahdara District
488,Shyam Enclave,5555.56,28.654006,77.305415,110092,Shahdara District
489,Surhera,4300,28.595728,76.941202,110043,South West District
490,Vishal Enclave,3724.14,28.650382,77.118619,110027,West District
491,Akshardham,23171.14,28.612332,77.27833,110092,East District
492,Ambica Vihar,9615.38,28.665092,77.080354,110087,West District
493,Ashirwad,8750,28.622128,77.058429,110059,West District
494,Azad Apartments,25000,28.542398,77.20163,110016,South District
495,Baldev Park East,7812.5,28.647966,77.288968,110051,East District
496,Bees Sutri Harijan Basti,1583.33,28.50522,77.197623,110062,South District
497,Ber Sarai,18750,28.549408,77.180933,110016,New Delhi District
498,Cd Block Dakshini Pitampura,25000,28.69176,77.120353,110034,North West District
499,Dcm School Marg,6478.21,28.649656,77.164196,110008,West District
500,Devli Extention,2430.56,28.503704,77.23216,110062,South District
501,Devli Extention Deoli Gaon Nai Basti,3143.6,28.505528,77.234013,110062,South District
502,Ghitorni Village South Delhi,17500,28.492572,77.145379,110030,New Delhi District
503,Gulab Bagh,566.67,28.636365,77.285144,110092,East District
504,Igi Airport,4826.07,28.555013,77.08437,110037,New Delhi District
505,Jasola Sector 8,10833.33,28.544643,77.296658,110025,South East Delhi District
506,Kalkaji Flyover,12534.18,28.541421,77.255747,110019,South East Delhi District
507,Keshavpuram,8333.33,28.688039,77.16071,110035,North West District
508,Khushi Ram Park Param Puri,5000,28.616921,77.051712,110059,West District
509,Kishangarh Village New Delhi,5617.98,28.632694,77.21966,,New Delhi District
510,Lodhi Colony,12000,28.583717,77.224496,110003,South East Delhi District
511,Manglapuri Village,36638.98,28.588744,77.087511,110045,South West District
512,Mayur Vihar Pocket F,47435.48,28.680359,77.317982,110095,Shahdara District
513,Mianwali Nagar Peera Garhi,10400,28.679509,77.096072,110056,West District
514,Mirpur Turk,4483.43,28.706748,77.265361,110094,North East District
515,Moti Bagh South,4545.45,28.58055,77.1726,110021,New Delhi District
516,Munirka Flyover,10296.3,28.553441,77.174918,110067,New Delhi District
517,Munirka Marg,11273.33,28.553441,77.174918,110067,New Delhi District
518,Pant Nagar,3264.76,28.585639,77.243685,110014,South East Delhi District
519,Pind Wala Khurd Village,65573.77,28.559322,76.97115,110043,South West District
520,Pocket 7 Sector D,11764.71,28.529379,77.146218,110070,South District
521,Pocket 8 Sector C,16666.67,28.537006,77.141515,110070,South District
522,Pratap Khand,6209.15,28.672288,77.30823,110095,Shahdara District
523,Sadh Nagar Palam Colony,3823.53,28.591095,77.0938,110045,South West District
524,Sandesh Vihar,18518.52,28.691363,77.141998,110034,North West District
525,Sector 108,5624.3,28.855418,77.096334,110040,North District
526,Sector 16A Dwarka,6269.59,28.611972,77.018489,110078,South West District
527,Sector 5,8758.77,28.52352,77.224102,110017,South District
528,Sector 7,9485.71,28.530248,77.227821,110017,South District
529,Sector B Pocket 10,1947.62,28.532418,77.153659,110070,South District
530,Sector17 Rohini,7995.09,28.721034,77.073372,110086,North West District
531,Shaheen Bagh New Delhi,4896.42,28.544888,77.302624,110025,South East Delhi District
532,West Enclave,10752.68,28.628375,77.074996,,West District
533,Delhi Cantt,527.04,28.596475,77.13247,110010,New Delhi District
534,Abul Fazal Enclave Part 2 New Delhi,4555.56,28.549208,77.299861,110025,South East Delhi District
535,Antriksh Bhawan,3542.37,28.62872,77.222853,110001,New Delhi District
536,Block Jp Poorvi Pitampura,9988.01,28.702802,77.14598,110034,North West District
537,Block Uu Uttari Pitampura,7781.65,28.705857,77.13941,110034,North West District
538,Chirag Dilli,3500,28.538589,77.228025,110017,South District
539,Commercial Shop Karol Bagh,16650,28.652979,77.192229,110005,Central District
540,Commonwealth Games Village,15476.19,28.615,77.273474,110092,East District
541,E Block Preet Vihar,13263.42,28.638923,77.297743,110092,East District
542,Experion Heartsong,6303.13,28.596475,77.13247,110010,New Delhi District
543,Gulabhi Bagh Om Vihar,3600,28.626044,77.05264,110059,West District
544,Janakpuri B1 Market,9444.44,28.628996,77.091333,110058,West District
545,Kapas Hera Extension,1866.67,28.594804,77.198137,110021,New Delhi District
546,Karampura West,13513.51,28.664786,77.147423,110015,West District
547,Lig Flats,8819.93,28.634795,77.06071,110059,West District
548,Mandakini Enclave,16388.89,28.529337,77.248602,110019,South East Delhi District
549,Mount Kailash Apartment,18333.33,28.553428,77.245946,110065,South East Delhi District
550,Narmada Apartments,13462.57,28.527007,77.248206,110019,South East Delhi District
551,Netaji Subash Marg,7826.09,28.645492,77.240409,110002,Central District
552,Noor Nagar,4266.67,28.557413,77.287111,110025,South East Delhi District
553,Partap Nagar,5000,28.708526,77.307316,110093,Shahdara District
554,Paschim Vihar A 1 Block,8300,28.678813,77.096991,110063,West District
555,Pocket 11 Sector B,16000,28.532134,77.151477,110070,South District
556,Pocket 2 Sector D,13365.38,28.613827,77.327863,110096,East District
557,Pocket 9 Sector C,16666.67,28.539503,77.143912,110070,South District
558,Residential Flat Mehrauli,3370.79,28.521341,77.179337,110030,South District
559,Rishi Nagar,6222.22,28.686199,77.127398,110034,North West District
560,Saiyad Ul Ajaib Village,3777.78,28.51808,77.200847,110030,South District
561,Salempur Majra,18750,28.768899,77.196855,110084,Central District
562,Sector 1,8674.1,28.849061,77.116154,110040,North District
